NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
17,Soteiro(a),Amarela,F,ESpanhol,27045552,Penedo,AL,420.4,507.6,426,383.2,600,467.44,Não,Não
18,Soteiro(a),Parda,F,Inglês,27226328,Coruripe,AL,404.1,495.7,502.7,524.1,560,497.32,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,439.7,393.9,435.3,372.9,580,444.36,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,464.5,520.7,478.5,553,680,539.34,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27047830,Penedo,AL,606.7,638.4,597.4,690.7,800,666.64,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,443.4,471.7,525.1,504.9,560,501.02,Não,Não
17,Soteiro(a),Parda,F,Inglês,27045145,Penedo,AL,422.7,543.4,508,457.3,520,490.28,Não,Não
18,Soteiro(a),Branca,F,ESpanhol,27215830,Palmeira dos Indios,AL,650.2,661.9,625.4,825.4,900,732.58,"Sim, um",Sim
17,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,413.9,366.5,393.8,427.4,440,408.32,Não,Não
18,Soteiro(a),Branca,M,ESpanhol,27226328,Coruripe,AL,421.2,435.5,421,580.5,500,471.64,"Sim, um",Sim
18,Soteiro(a),Preta,M,ESpanhol,27013928,Palmeira dos Indios,AL,528.5,492.5,461.9,436.3,560,495.84,Não,Não
18,Soteiro(a),Parda,F,Inglês,27045145,Penedo,AL,414.1,560.4,566.1,496.7,860,579.46,Não,Sim
18,Não dec,Parda,M,ESpanhol,27045145,Penedo,AL,394.3,425.9,438,470.8,360,417.8,Não,Sim
16,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,365,473.4,521.2,408.1,520,457.54,"Sim, um",Sim
18,Soteiro(a),Preta,F,ESpanhol,27014959,Palmeira dos Indios,AL,375.1,449.8,429.7,472.3,300,405.38,"Sim, um",Sim
17,Soteiro(a),Branca,M,ESpanhol,27014959,Palmeira dos Indios,AL,479.4,504.7,526.2,422.7,860,558.6,Não,Não
19,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,343.5,430.9,458.6,427.6,640,460.12,Não,Sim
17,Soteiro(a),Preta,F,Inglês,27014029,Palmeira dos Indios,AL,427.9,481.7,498.7,517.1,520,489.08,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27215830,Palmeira dos Indios,AL,419.2,525.2,562,472.1,620,519.7,"Sim, um",Sim
18,Soteiro(a),Preta,F,Inglês,27226328,Coruripe,AL,401.9,390.2,485.3,474.7,760,502.42,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,486.7,512.5,543.6,463.4,620,525.24,Não,Não
17,Soteiro(a),Parda,M,ESpanhol,27045552,Penedo,AL,362.7,355.6,457.6,457.5,420,410.68,"Sim, um",Sim
17,Soteiro(a),Parda,M,Inglês,27013995,Palmeira dos Indios,AL,474.6,580.2,526.1,509.1,700,558,Não,Não
18,Soteiro(a),Branca,M,Inglês,27226328,Coruripe,AL,478.8,522,521.3,459.9,560,508.4,Não,Não
19,Soteiro(a),Parda,M,Inglês,27215830,Palmeira dos Indios,AL,558.4,590.3,424.6,739.1,740,610.48,"Sim, um",Sim
18,Soteiro(a),Amarela,M,Inglês,27045234,Penedo,AL,377,496.6,439.5,468.7,580,472.36,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27042251,Coruripe,AL,376.5,462.5,475.4,424.7,700,487.82,Não,Não
17,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,437.6,366.4,486.2,540.5,480,462.14,Não,Não
18,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,399.5,507.1,544.3,605,800,571.18,Não,Não
18,Soteiro(a),Parda,M,Inglês,27215830,Palmeira dos Indios,AL,571.4,607.7,589.8,701,660,625.98,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27014010,Palmeira dos Indios,AL,493.1,545,518.4,407,540,500.7,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27015068,Palmeira dos Indios,AL,409.7,436.1,376.5,543.9,480,449.24,Não,Não
19,Soteiro(a),Parda,F,ESpanhol,27014029,Palmeira dos Indios,AL,372.4,496.3,535.2,478.9,560,488.56,Não,Não
16,Soteiro(a),Parda,M,ESpanhol,27220923,Palmeira dos Indios,AL,383.8,537.1,471.4,487.2,700,515.9,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,423.3,543.4,502,740,800,601.74,"Sim, um",Sim
17,Soteiro(a),Branca,M,Inglês,27014010,Palmeira dos Indios,AL,568.7,572.6,588.7,641.1,560,586.22,Não,Sim
17,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,508.8,534.1,521.5,493.5,420,495.58,"Sim, um",Sim
17,Soteiro(a),Branca,F,Inglês,27050572,Coruripe,AL,513.1,361,562.7,659,940,607.16,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,504.6,542.7,560.9,440.5,880,585.74,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,458.4,482.8,531.4,486,600,511.72,Não,Sim
17,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,358.3,400.4,502.6,375.3,580,443.32,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,493.8,531,536.1,558.8,800,583.94,"Sim, um",Sim
19,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,570.7,648.7,623.7,603.1,660,621.24,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27226328,Coruripe,AL,390.2,441.4,485.3,400.4,580,459.46,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27045552,Penedo,AL,474.3,505.3,510.2,496.2,680,533.2,Não,Não
17,Soteiro(a),Branca,M,Inglês,27045552,Penedo,AL,504.2,533.6,569.9,499.2,700,561.38,"Sim, um",Sim
18,Soteiro(a),Preta,F,Inglês,27013995,Palmeira dos Indios,AL,383,531.7,457.6,446.3,600,483.72,Não,Não
21,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,531.6,504.3,432,476.8,780,544.94,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,518.6,476.2,540.8,581.9,580,539.5,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,399.9,359,383.1,474.3,400,403.26,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,421.5,479.9,518.9,411.8,560,478.42,Não,Sim
18,Não dec,Preta,F,ESpanhol,27045552,Penedo,AL,427.1,468.4,466.1,399.5,560,464.22,Não,Sim
20,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,449.9,395.6,519.5,431.7,460,451.34,Não,Não
19,Soteiro(a),Parda,F,Inglês,27047830,Penedo,AL,543.2,604.3,597.4,516.5,840,620.28,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,583.4,400.4,522.6,617.5,720,568.78,Não,Sim
20,Soteiro(a),Parda,M,Inglês,27047830,Penedo,AL,343.3,475.4,478.3,583.9,420,460.18,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,449,437.3,450.5,482,300,423.76,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,474.7,543.6,552.3,434,760,552.92,"Sim, um",Sim
18,Soteiro(a),Não dec,F,ESpanhol,27226239,Coruripe,AL,402.5,560,473,497.1,560,498.52,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,554,487,575.7,618.3,840,615,"Sim, um",Sim
19,Soteiro(a),Parda,M,ESpanhol,27015068,Palmeira dos Indios,AL,403.1,453.5,480.1,474.8,660,494.3,"Sim, um",Sim
17,Soteiro(a),Preta,F,Inglês,27015068,Palmeira dos Indios,AL,382.1,559.3,549.5,454.6,600,509.1,Não,Sim
18,Soteiro(a),Branca,F,ESpanhol,27042251,Coruripe,AL,448.4,441.2,515.6,455.6,780,528.16,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27045552,Penedo,AL,412.3,466.3,457.2,448.3,520,460.82,"Sim, um",Sim
20,Soteiro(a),Preta,F,Inglês,27215830,Palmeira dos Indios,AL,383.5,439.9,517.1,598.9,600,507.88,"Sim, um",Sim
17,Soteiro(a),Branca,F,ESpanhol,27226328,Coruripe,AL,512.1,427.5,484.6,449.8,640,502.8,Não,Sim
18,Soteiro(a),Amarela,F,Inglês,27226328,Coruripe,AL,458.7,464.8,530.9,486.5,400,468.18,Não,Não
19,Soteiro(a),Preta,F,ESpanhol,27047830,Penedo,AL,535.8,545.5,558.5,536.8,860,607.32,"Sim, um",Sim
21,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,464.8,532.4,548.7,478.5,620,528.88,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,375,472,546,597.1,920,582.02,"Sim, um",Não
18,Não dec,Parda,F,ESpanhol,27226328,Coruripe,AL,511.4,492.1,556,417.7,660,527.44,"Sim, um",Sim
19,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,536.8,603.2,539.4,589.4,620,577.76,Não,Sim
18,Soteiro(a),Branca,F,ESpanhol,27047830,Penedo,AL,503.4,479.3,540.2,406.1,600,505.8,"Sim, um",Sim
17,Soteiro(a),Parda,F,Inglês,27226328,Coruripe,AL,431.9,490.4,503.7,422.8,420,453.76,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,543.4,479.8,496.8,599.3,800,583.86,Não,Não
17,Soteiro(a),Branca,F,Inglês,27015068,Palmeira dos Indios,AL,410,487,505.8,416.2,560,475.8,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27045200,Penedo,AL,390.5,371.3,495.8,371.1,620,449.74,Não,Sim
35,Soteiro(a),Branca,F,ESpanhol,27015068,Palmeira dos Indios,AL,365.9,337.4,451.1,497.5,560,442.38,Não,Não
18,Soteiro(a),Parda,M,Inglês,27013995,Palmeira dos Indios,AL,415.3,507,463.6,403.1,440,445.8,Não,Não
19,Soteiro(a),Preta,F,ESpanhol,27215830,Palmeira dos Indios,AL,517.9,488.3,515.3,548.4,680,549.98,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27013901,Palmeira dos Indios,AL,534.9,591.2,530.9,679.1,940,655.22,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27014037,Palmeira dos Indios,AL,416.4,528.2,526,480.5,600,510.22,"Sim, um",Sim
19,Soteiro(a),Parda,M,Inglês,27014002,Palmeira dos Indios,AL,420.9,380.3,346.4,415.5,580,428.62,Não,Não
17,Soteiro(a),Branca,F,ESpanhol,27014029,Palmeira dos Indios,AL,427.3,535.9,495,568.7,800,565.38,Não,Sim
17,Soteiro(a),Branca,F,Inglês,27013901,Palmeira dos Indios,AL,574.8,597.3,646.5,643.5,960,684.42,Não,Sim
18,Soteiro(a),Preta,F,ESpanhol,27045145,Penedo,AL,382.3,437.8,540,619.8,960,587.98,Não,Sim
18,Soteiro(a),Parda,M,Inglês,27014002,Palmeira dos Indios,AL,479.1,494.4,557.8,639.2,800,594.1,Não,Não
18,Soteiro(a),Preta,F,Inglês,27050572,Coruripe,AL,504.4,570,569.7,512.9,860,603.4,"Sim, um",Sim
17,Soteiro(a),Branca,F,ESpanhol,27215830,Palmeira dos Indios,AL,472.4,493.9,512.6,493.4,620,518.46,"Sim, um",Sim
20,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,539.3,503.5,556.2,524.9,800,584.78,Não,Sim
20,Casado(a),Parda,F,Inglês,27013880,Palmeira dos Indios,AL,431.5,506.2,527.1,506.1,320,458.18,Não,Não
18,Soteiro(a),Branca,F,ESpanhol,27014053,Palmeira dos Indios,AL,409.9,361.1,513.6,394.5,700,475.82,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,414,397.3,425.5,414.9,360,402.34,Não,Não
17,Soteiro(a),Branca,M,Inglês,27014053,Palmeira dos Indios,AL,575.7,541.9,598.6,622,600,587.64,"Sim, um",Sim
16,Soteiro(a),Branca,M,ESpanhol,27220923,Palmeira dos Indios,AL,463.6,535.1,508.4,636,680,564.62,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,396.5,505,466.3,572.7,620,512.1,Não,Não
18,Soteiro(a),Branca,F,ESpanhol,27226328,Coruripe,AL,462.4,547.1,526.3,583.9,580,539.94,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,494.2,480.2,439.3,422.4,340,435.22,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27015068,Palmeira dos Indios,AL,399.7,455.3,413.6,447.8,400,423.28,Não,Não
18,Soteiro(a),Branca,F,ESpanhol,27013928,Palmeira dos Indios,AL,348.7,438.4,497.8,388.5,420,418.68,Não,Não
17,Soteiro(a),Parda,F,Inglês,27013901,Palmeira dos Indios,AL,455.3,426.1,505.8,556.9,700,528.82,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27226328,Coruripe,AL,413.7,365.6,435.3,392.9,680,457.5,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27014002,Palmeira dos Indios,AL,457.4,377.2,481.3,519,600,486.98,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27045552,Penedo,AL,408.3,392.3,426.6,481.6,360,413.76,Não,Sim
17,Soteiro(a),Não dec,F,ESpanhol,27014029,Palmeira dos Indios,AL,497.6,452.3,512.4,556.5,440,491.76,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,553.3,580.9,595.7,615.5,780,625.08,"Sim, um",Sim
18,Soteiro(a),Parda,M,ESpanhol,27045552,Penedo,AL,406.1,460.8,462,438.6,540,461.5,Não,Sim
18,Soteiro(a),Branca,M,Inglês,27047830,Penedo,AL,592.7,596.9,552.2,670.7,880,658.5,"Sim, dois",Sim
19,Soteiro(a),Parda,M,Inglês,27014959,Palmeira dos Indios,AL,513.7,522.6,545.7,593.9,580,551.18,"Sim, um",Sim
19,Soteiro(a),Parda,M,Inglês,27050572,Coruripe,AL,502.8,445.4,560.6,617.9,600,545.34,"Sim, um",Sim
17,Soteiro(a),Parda,F,Inglês,27045145,Penedo,AL,380,332.1,384.8,397.5,520,402.88,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27045153,Penedo,AL,519.3,581.5,560.1,448.5,540,529.88,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27014029,Palmeira dos Indios,AL,419.8,460.2,493,492.1,320,437.02,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,458.8,539,544,509.3,820,574.22,Não,Não
17,Soteiro(a),Branca,F,Inglês,27220923,Palmeira dos Indios,AL,624.8,613.1,596.5,734.7,820,677.82,"Sim, dois",Sim
17,Soteiro(a),Parda,M,ESpanhol,27045145,Penedo,AL,557.4,620.2,564.7,596.3,560,579.72,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27226239,Coruripe,AL,346.7,335.9,438.4,408.9,520,409.98,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27215830,Palmeira dos Indios,AL,583.3,580.6,530.4,650,820,632.86,Não,Sim
20,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,469.8,460,540.2,589.5,680,547.9,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,476.5,383,513.2,432.2,640,488.98,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,408,489.5,549.1,426.6,600,494.64,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27014037,Palmeira dos Indios,AL,397.3,454.6,496.5,391.5,500,447.98,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27045145,Penedo,AL,424.1,478,469,473.7,680,504.96,Não,Sim
18,Soteiro(a),Preta,F,Inglês,27226239,Coruripe,AL,516.9,486.8,545,598.9,600,549.52,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27014029,Palmeira dos Indios,AL,452.6,423.8,392.2,394.1,600,452.54,"Sim, um",Sim
18,Não dec,Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,434.8,474.9,504.1,612.3,740,553.22,"Sim, um",Sim
18,Não dec,Parda,M,Inglês,27226328,Coruripe,AL,373.1,376.1,404.2,385,420,391.68,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27045234,Penedo,AL,431.6,359.9,378,461,560,438.1,Não,Não
17,Soteiro(a),Parda,M,ESpanhol,27220923,Palmeira dos Indios,AL,595.8,565.5,568.6,612,860,640.38,"Sim, um",Sim
18,Soteiro(a),Parda,M,ESpanhol,27013928,Palmeira dos Indios,AL,431.6,508,505.1,396.9,620,492.32,"Sim, um",Sim
18,Soteiro(a),Parda,M,Inglês,27050572,Coruripe,AL,504.4,546.2,540.6,623,880,618.84,"Sim, um",Não
16,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,450.6,589.4,549.5,509.6,740,567.82,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,500.1,423.3,466,480.9,460,466.06,Não,Não
18,Soteiro(a),Preta,F,ESpanhol,27014029,Palmeira dos Indios,AL,517.3,573.7,569.6,381.7,760,560.46,"Sim, um",Sim
17,Soteiro(a),Preta,F,ESpanhol,27014908,Palmeira dos Indios,AL,487.4,489.6,437.7,406.9,680,500.32,Não,Não
17,Soteiro(a),Preta,M,ESpanhol,27014029,Palmeira dos Indios,AL,381.7,489.7,557.5,683.7,880,598.52,Não,Sim
17,Soteiro(a),Branca,M,ESpanhol,27014029,Palmeira dos Indios,AL,385.5,388.5,394.7,364.3,560,418.6,"Sim, um",Sim
18,Soteiro(a),Branca,M,Inglês,27047830,Penedo,AL,578.3,622.8,596.4,599.7,980,675.44,"Sim, um",Sim
17,Soteiro(a),Branca,F,ESpanhol,27045552,Penedo,AL,410.7,399.1,508.7,388.8,480,437.46,"Sim, um",Sim
19,Soteiro(a),Branca,M,Inglês,27045145,Penedo,AL,370,462.8,476.5,376.5,480,433.16,Não,Não
19,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,547,582.9,610.9,768.6,900,681.88,"Sim, um",Sim
18,Soteiro(a),Branca,M,Inglês,27013928,Palmeira dos Indios,AL,448.4,477.9,420.1,364.8,480,438.24,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,345.9,453,438.1,466.9,580,456.78,Não,Não
20,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,510.2,572.2,540.2,596.2,580,559.76,"Sim, um",Sim
17,Soteiro(a),Parda,M,ESpanhol,27014029,Palmeira dos Indios,AL,384.9,442.8,464,401.7,540,446.68,Não,Não
19,Soteiro(a),Preta,F,ESpanhol,27215830,Palmeira dos Indios,AL,505.2,514.4,560.5,669.1,800,609.84,"Sim, um",Sim
18,Soteiro(a),Branca,F,ESpanhol,27045234,Penedo,AL,438,412.3,497.7,462.2,360,434.04,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27014959,Palmeira dos Indios,AL,344.6,470.6,413.7,481.3,420,426.04,Não,Sim
17,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,384.9,499.8,501.3,631.5,440,491.5,Não,Sim
21,Soteiro(a),Branca,M,Inglês,27215830,Palmeira dos Indios,AL,523.6,509,537.2,537.1,940,609.38,"Sim, um",Sim
19,Soteiro(a),Branca,M,ESpanhol,27013928,Palmeira dos Indios,AL,399.8,448.4,495.5,492,480,463.14,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27014002,Palmeira dos Indios,AL,397.8,409.6,470.8,375.9,620,454.82,Não,Não
18,Soteiro(a),Parda,M,Inglês,27215830,Palmeira dos Indios,AL,550,524.2,582.6,672.7,840,633.9,"Sim, um",Sim
17,Soteiro(a),Parda,F,ESpanhol,27050572,Coruripe,AL,504,580.1,550.9,522.2,800,591.44,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27014010,Palmeira dos Indios,AL,486.4,447.2,493.3,413.2,480,464.02,"Sim, um",Não
18,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,522.7,611,600.9,634.6,740,621.84,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27226328,Coruripe,AL,485.4,494.4,550.3,513.1,560,520.64,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,477.4,496.9,479,381.3,580,482.92,"Sim, um",Sim
18,Soteiro(a),Branca,M,ESpanhol,27215830,Palmeira dos Indios,AL,399,522.6,548.7,637.1,880,597.48,"Sim, um",Sim
19,Soteiro(a),Indigena,M,Inglês,27215830,Palmeira dos Indios,AL,536.4,616.4,617.8,703.4,660,626.8,"Sim, dois",Sim
17,Soteiro(a),Branca,M,ESpanhol,27220923,Palmeira dos Indios,AL,550.4,617.3,596,559.6,760,616.66,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27226239,Coruripe,AL,452.2,453.6,485.3,403.6,560,470.94,Não,Não
18,Soteiro(a),Preta,M,ESpanhol,27047830,Penedo,AL,473.5,504.3,453.8,386.8,320,427.68,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27014010,Palmeira dos Indios,AL,437.9,482.9,446.3,401.2,640,481.66,Não,Não
18,Soteiro(a),Parda,M,ESpanhol,27045552,Penedo,AL,419.3,337.4,487.6,491.2,480,443.1,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27014002,Palmeira dos Indios,AL,472.2,502,453.5,483.9,760,534.32,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,358,468.5,470.8,447,720,492.86,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27047830,Penedo,AL,475.3,443.6,527.4,620.9,540,521.44,Não,Não
19,Soteiro(a),Branca,M,ESpanhol,27013928,Palmeira dos Indios,AL,392.6,423.5,496.3,480.4,580,474.56,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27050572,Coruripe,AL,429.3,377.4,511.2,454.3,920,538.44,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27014010,Palmeira dos Indios,AL,489,410.2,405.6,504.2,340,429.8,Não,Sim
32,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,472.1,393.5,501.8,455.1,560,476.5,Não,Sim
18,Soteiro(a),Branca,F,ESpanhol,27045552,Penedo,AL,391.4,382.8,474,411,420,415.84,"Sim, um",Sim
17,Soteiro(a),Branca,M,Inglês,27220923,Palmeira dos Indios,AL,554.4,578,566.2,617.1,880,639.14,"Sim, um",Sim
18,Soteiro(a),Parda,M,ESpanhol,27226239,Coruripe,AL,532.1,379.6,490.8,432.1,500,466.92,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27215830,Palmeira dos Indios,AL,423.1,386.3,512.6,625.7,560,501.54,"Sim, um",Sim
17,Soteiro(a),Branca,F,Inglês,27014959,Palmeira dos Indios,AL,359.3,520.7,502.2,433.5,440,451.14,Não,Não
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,419.2,423.5,519.1,553.7,760,535.1,"Sim, um",Sim
19,Soteiro(a),Preta,F,ESpanhol,27014029,Palmeira dos Indios,AL,473.5,435.3,432.6,464,620,485.08,Não,Não
18,Soteiro(a),Preta,M,ESpanhol,27042251,Coruripe,AL,502,516.1,522.1,436.3,580,511.3,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27013928,Palmeira dos Indios,AL,365,424.1,538.1,486.3,560,474.7,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27226239,Coruripe,AL,362.4,367.3,390.6,440.7,580,428.2,Não,Não
18,Soteiro(a),Parda,M,Inglês,27013928,Palmeira dos Indios,AL,363.1,355,367.5,576.5,380,408.42,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27013979,Palmeira dos Indios,AL,348.2,487.4,452.7,432.3,640,472.12,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27220923,Palmeira dos Indios,AL,560.5,498.7,580.1,572.3,740,590.32,"Sim, um",Sim
18,Soteiro(a),Preta,M,Inglês,27047830,Penedo,AL,557.8,566.9,625.1,660.7,660,614.1,"Sim, um",Sim
17,Soteiro(a),Branca,F,Inglês,27045153,Penedo,AL,606.9,613.1,608.2,710.9,800,667.82,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27045153,Penedo,AL,515.6,548.5,518.8,599.4,920,620.46,Não,Sim
20,Soteiro(a),Parda,F,Inglês,27047830,Penedo,AL,469.4,516.9,493.9,533.6,680,538.76,"Sim, um",Sim
19,Soteiro(a),Parda,F,Inglês,27047830,Penedo,AL,543.8,566.2,550.8,476.8,780,583.52,"Sim, um",Sim
17,Soteiro(a),Preta,F,Inglês,27045145,Penedo,AL,396.4,489.2,501.9,438.9,580,481.28,Não,Sim
18,Não dec,Parda,F,ESpanhol,27226239,Coruripe,AL,412.6,469.2,409.7,452,600,468.7,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27045552,Penedo,AL,401.7,414.5,487.2,535.8,480,463.84,Não,Não
18,Soteiro(a),Parda,M,Inglês,27042251,Coruripe,AL,355.1,376.7,406.4,536,520,438.84,"Sim, um",Sim
19,Soteiro(a),Parda,M,ESpanhol,27047830,Penedo,AL,558.1,422.5,509.3,453.7,520,492.72,"Sim, um",Sim
16,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,481.7,436.9,533.5,493.5,420,473.12,"Sim, um",Sim
17,Soteiro(a),Parda,F,Inglês,27045200,Penedo,AL,399.6,353.5,452.7,451.6,480,427.48,Não,Não
18,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,572,579.2,608.9,689.1,940,677.84,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27014029,Palmeira dos Indios,AL,391.8,542.4,510,420.4,600,492.92,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27014010,Palmeira dos Indios,AL,439.3,556.3,539.1,491.6,640,533.26,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27226166,Penedo,AL,547.8,565.3,547.3,600.4,760,604.16,"Sim, um",Sim
17,Soteiro(a),Preta,F,ESpanhol,27047830,Penedo,AL,491.1,581.2,557.7,498,820,589.6,"Sim, um",Sim
18,Soteiro(a),Branca,M,Inglês,27215830,Palmeira dos Indios,AL,502.7,591.7,555.9,715.6,820,637.18,"Sim, um",Sim
20,Soteiro(a),Não dec,F,ESpanhol,27215830,Palmeira dos Indios,AL,506.8,535.3,547.3,562.1,680,566.3,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27045552,Penedo,AL,482.3,513.8,570.8,495.5,800,572.48,Não,Não
18,Soteiro(a),Parda,M,ESpanhol,27014029,Palmeira dos Indios,AL,356.6,427.5,438.6,412.4,560,439.02,Não,Sim
16,Soteiro(a),Branca,F,ESpanhol,27215830,Palmeira dos Indios,AL,415.8,516.7,556.9,607.7,800,579.42,"Sim, dois",Sim
