NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
17,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,357.9,394.7,480.8,395.2,320,389.72,Não,Não
17,Soteiro(a),Parda,F,ESpanhol,27045145,Penedo,AL,515.9,548.9,525.8,435.3,520,509.18,Não,Sim
18,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,552.1,547.1,563.9,477.4,500,528.1,Não,Sim
18,Soteiro(a),Parda,F,Inglês,27045145,Penedo,AL,353.6,461,509.8,444.2,520,457.72,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,382.9,485.1,525.1,408.4,600,480.3,Não,Sim
17,Soteiro(a),Parda,M,Inglês,27013979,Palmeira dos Indios,AL,422.7,553.9,558.7,578.9,560,534.84,Não,Não
18,Soteiro(a),Parda,F,Inglês,27215830,Palmeira dos Indios,AL,472.6,570.9,530.8,633.2,760,593.5,Não,Sim
17,Separado(a),Parda,M,ESpanhol,27014037,Palmeira dos Indios,AL,430.1,384.4,480.6,394.1,600,457.84,Não,Não
18,Soteiro(a),Parda,F,Inglês,27014029,Palmeira dos Indios,AL,416.1,460.1,466.6,453.1,560,471.18,Não,Sim
17,Soteiro(a),Branca,F,ESpanhol,27042251,Coruripe,AL,515.6,534.6,536.9,490.9,600,535.6,Não,Sim
18,Soteiro(a),Branca,F,ESpanhol,27042251,Coruripe,AL,437.8,447.5,522.8,446.2,680,506.86,Não,Sim
17,Soteiro(a),Parda,F,Inglês,27013901,Palmeira dos Indios,AL,499.7,483.2,492.4,457.5,600,506.56,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27042251,Coruripe,AL,407.8,414.8,429.6,437.6,400,417.96,Não,Sim
18,Soteiro(a),Parda,M,ESpanhol,27042251,Coruripe,AL,435.6,415.9,476,481.6,580,477.82,"Sim, um",Sim
17,Soteiro(a),Parda,M,Inglês,27045137,Penedo,AL,475.1,430.6,557.1,577.5,580,524.06,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27014037,Palmeira dos Indios,AL,368.4,513.1,434.9,408.1,560,456.9,"Sim, um",Sim
